ip,0
101.119.18.35,1
101.226.168.198,1
109.74.151.149,1
111.199.235.239,2
115.112.233.75,1
122.166.142.108,2
129.121.176.228,1
130.185.72.6,1
130.237.218.86,4
131.107.160.94,1
14.140.163.52,1
14.160.65.22,1
144.76.194.187,2
144.76.95.39,14
157.55.34.93,1
173.236.32.219,1
176.92.75.62,5
183.91.14.219,1
184.154.137.213,1
185.38.249.133,1
188.165.243.45,3
190.250.238.82,1
192.185.81.134,1
192.185.83.181,1
193.244.33.47,2
194.186.207.105,1
195.211.162.22,1
195.250.34.144,3
198.143.145.210,1
198.245.61.43,3
199.102.67.16,1
199.116.117.212,1
199.168.96.66,2
199.189.248.95,1
200.31.173.106,1
204.62.56.3,2
207.241.237.104,1
207.241.237.220,1
208.115.113.88,2
208.43.251.181,1
208.50.255.30,1
208.91.156.11,60
210.13.83.18,1
212.90.148.107,2
216.14.208.102,1
216.150.76.218,1
217.26.210.20,1
219.64.34.68,2
23.20.83.155,1
38.99.236.50,1
46.28.105.80,1
5.9.143.150,1
50.58.161.66,1
50.87.144.128,1
59.163.27.11,1
61.140.183.41,1
62.225.70.202,1
62.24.122.25,1
63.140.98.80,1
66.147.244.126,1
66.249.73.135,8
66.249.73.185,2
67.215.172.14,1
69.171.237.10,1
69.171.237.9,1
69.175.14.230,1
69.175.87.242,1
74.208.16.115,1
74.208.180.23,1
75.67.42.229,1
75.97.9.59,6
76.164.234.106,1
78.173.140.106,3
79.171.127.34,1
80.108.25.232,1
81.169.144.135,1
84.137.208.44,4
85.115.58.180,1
85.19.71.167,1
85.43.182.12,1
86.28.207.22,2
88.3.37.62,1
89.107.177.18,2
89.107.180.34,1
90.175.31.133,1
94.242.255.188,1
95.78.54.93,3
96.127.149.186,1
98.130.2.118,1
